id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
41,Hotel Monteverde e Austria,,"86",41.8712506,12.4492112,3,55,28,1,27,,info@hotelmonteverderoma.it,658230000,,12,XII,12
253,Hotel Boomerang,,"20",41.8821962,12.3776671,3,147,60,11,11,38,amministrazione@hotelboomerangroma.com,66690307,www.hotelboomerangroma.com,12,XII,12
267,Hotel Casale Dei Massimi,,"952",41.8561788,12.3926163,2,22,18,14,4,,casaledeimassimi@gmail.com,666151109,,12,XII,12
349,Hotel Gianicolo,,"107",41.887568,12.46101,4,79,45,11,34,,,,,12,XII,12
365,Hotel Il Villino,,"6",41.8740336,12.4637779,3,23,12,1,11,,archstudio05@yahoo.it,3332578639,,12,XII,12
457,Hotel- Ripa- Roma,,"21",41.8826246,12.4706514,4,416,200,,192,,frontdesk@hotelriparoma.com,658611,https://www.hotelriparoma.com,12,XII,12
459,Hotel Roma Aurelia Antica,,"223",41.8755912,12.3947649,4,590,282,,257,24,info@hotelromaaureliantica.com,3484942501,,12,XII,12
493,hotel The Brand,,"295",41.8749051,12.3940487,4,178,84,,79,,info@thebrandhotelroma.com,68603341,,12,XII,12
500,Hotel Trilussa Palace Congress & Spa,,"27",41.8800428,12.4664185,4,93,40,2,25,11,info@trilussapalacehotel.it,65881963,,12,XII,12
518,Hotel Villa Pamphili,,"105",41.882153,12.4322369,4,470,235,,235,,residentmanager@hotelvillapamphiliroma.com,640064500,https://www.hotelvillapamphiliroma.com/,12,XII,12
520,Hotel Villa Zaccardi,,"226",41.8727949,12.4495039,4,58,31,10,18,,info@zaccardhotels.it,3391127392,,12,XII,12
522,Hotel Villarosa,,"1",41.873054,12.4627565,3,106,53,17,20,15,amministrazione@hotelvillarosaroma.eu,65883643,www.hotelvillarosaroma.eu,12,XII,12
666,Roma Trastevere,,"249",41.8763086,12.4660221,3,146,81,22,53,6,,,,12,XII,12
