id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
54,All Time Relais & Sport Hotel,,"181",41.8093745,12.4467402,4,129,68,7,61,,,,,9,IX,9
67,Ardeatina Park Hotel,,"143",41.7916059,12.5299649,4,208,102,,98,4,,,,9,IX,9
84,Hotel Bella Cenci A,,"32",41.75369,12.54024,2,24,14,6,6,2,bellacenci@yahoo.it,67136163,,9,IX,9
85,Hotel Blla Cenci B,,"34",41.7532389,12.5407937,2,24,11,,9,2,bellacenci@yahoo.it,67136163,,9,IX,9
107,Hotel Casarola,,"57",41.7488727,12.4665977,1,21,15,9,6,,,,,9,IX,9
124,Hotel Colonne D'ercole,,"1411",41.795953,12.4043661,1,14,12,10,2,,,,,9,IX,9
169,Hotel Eurom,,"39",41.7708875,12.48475,3,24,22,20,2,,euromhotel@tiscali.it,65061735,,9,IX,9
170,Hotel Europergola,,"32",41.8161111,12.4911111,2,24,18,12,6,,eurpergolasrl@yahoo.it,65010831,,9,IX,9
231,Hotel Area Roma,,"21",41.8464626,12.4750069,4,113,51,18,7,23,info.gardenarea@italicahotels.com,65943183,https://www.hotelarearoma.it,9,IX,9
268,Hotel Casale Della Certosa,,"6",41.7199843,12.5844153,3,71,37,13,16,6,info@casalecertosa.it,671383055,www.casalecertosa.it,9,IX,9
304,Hotel Dei Congressi,,"29",41.8303613,12.4733048,4,195,104,14,89,1,,,,9,IX,9
315,Hotel Divino Amore - Casa Del Pellegrino,,"80",41.7772044,12.5439636,3,212,84,,42,40,amministrazione@hoteldivinoamoreroma.it,6713519,,9,IX,9
326,Hotel Ekotel,,"397",41.7907586,12.4518621,2,30,15,,15,,info@ekotel.it,632092037,https://www.ekotel.it/,9,IX,9
514,Hotel Villa Eur Parco Dei Pini,,"2",41.8227511,12.4746934,3,180,93,8,83,2,info@villaeur.it,654220627,www.villaeur.com,9,IX,9
536,Jc Hotel,,"43",41.7993831,12.479688,4,24,12,,12,,,,,9,IX,9
547,Hotel La Siesta,,"507",41.7852189,12.4491021,1,24,16,8,8,,,,,9,IX,9
571,Marini Park Hotel,,"258",41.7879931,12.5162246,3,124,53,8,33,,,,,9,IX,9
