id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
18,Hotel Alessandrino,,"9",41.8947959,12.4523841,3,62,26,3,18,1,amministrazione@hotelalessandrino.com,639674144,,13,XIII,13
90,Black Hotel,,"18",41.8887857,12.4031871,4,133,68,5,61,2,info@blackhotel.it,666410148,www.blackhotel.it,13,XIII,13
91,Hotel Bloom Roma,,"19",41.8955538,12.4580961,3,58,27,3,18,5,booking@bloomhotelroma.com,66635201,www.bloomhotelroma.com,13,XIII,13
103,Hotel Cardinal St. Peter,,"71",41.8914586,12.4362222,4,592,137,5,112,13,info@cardinahotelrome.com,6322252,www.cardinalhotelrome,13,XIII,13
106,Hotel Casa Tra Noi,,"113",41.894092,12.4526123,3,406,201,36,133,24,,,,13,XIII,13
129,Hotel Consul,,"727",41.8918887,12.414046,3,126,59,21,13,21,,,,13,XIII,13
161,Hotel Emmaus,,"23",41.8993047,12.4563925,3,76,28,3,6,16,,,,13,XIII,13
163,Hotel Ergife Palace,,"619",41.8949988,12.4177209,4,999,705,415,289,,info@ergifepalacehotel.com,66644,,13,XIII,13
184,Hotel Fragrance St. Peter,,"36",41.8966448,12.451627,3,62,32,7,20,5,booking@fragrancestpeter.it,687725300,www.fragrancestpeter.it,13,XIII,13
194,Ginevra Palace Hotel,,"35",41.8998764,12.4087091,3,99,66,33,33,,amministrazione@ginevrapalacehotel.it,683393163,,13,XIII,13
240,hotel aurelius,,"458",41.8988264,12.4256325,3,50,26,6,16,4,info@hotelaurelius.it,66624500,,13,XIII,13
249,Hotel Benedetto,,"7",41.8943617,12.4160753,2,21,9,1,5,2,dipietropietro@gmail.com,3478687115,,13,XIII,13
317,Hotel Domus Aurelia,,"218",41.8997875,12.4437421,3,117,45,1,29,2,info@novadomusaurelia.it,697161530,https://www.novadomusaurelia.it/,13,XIII,13
355,Hotel Giotto,,"35",41.911049,12.4212671,3,143,76,18,49,9,info@hotelgiotto.eu,661662394,,13,XIII,13
360,Hotel Gravina Sanpietro,,"17",41.8961516,12.4505522,3,84,44,4,40,,info@hotelgravinasanpietro.it,639674205,,13,XIII,13
423,Hotel Paolo II,,"3",41.8984561,12.4541381,3,25,15,5,10,,altaserrasrl@email.it,335451897,www.hotelpaoloii.com,13,XIII,13
472,Hotel San Pietro,,"9",41.8976459,12.4507845,3,83,39,8,19,11,info@hotelsanpietro.com,6630876,www.hotelsanpietro.com,13,XIII,13
532,Hotel Il Cantico,,"50",41.8971413,12.4484919,3,131,71,13,56,2,,,,13,XIII,13
551,Le Boutique Hotel San Pietro,,"1",41.9002333,12.4532594,4,16,9,2,7,,info@elleboutiquehotel.it,645434591,,13,XIII,13
565,Hotel Marc'aurelio,,"135",41.8997175,12.4197243,4,242,121,,121,,,,,13,XIII,13
637,Pinewood hotel rome,,"41",41.908251,12.425133,4,197,80,6,42,21,aiga@legalmail.it,639746823,,13,XIII,13
650,Hotel Raganelli,,"738",41.8922468,12.4131575,4,88,45,5,37,3,,,,13,XIII,13
692,Scheppers Hotel,,"36",41.8885491,12.4006736,3,98,43,,31,12,,,,13,XIII,13
720,The Church Village,,"94",41.8914797,12.4243137,3,451,252,53,199,,,,,13,XIII,13
