id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
64,Appia Park Hotel,,"934",41.8391045,12.5507334,4,120,60,,60,,,,,7,VII,7
66,Hotel Arco di Traventino,,"71",41.8681409,12.5357858,2,25,19,13,6,,,,,7,VII,7
72,Hotel Artis,,"3",41.86657,12.57572,4,140,70,,70,,hoteldiromasrl@gmail.com,623267789,www.hotelartisroma.com,7,VII,7
118,Hotel Cilicia,,"5",41.8735805,12.5060249,3,112,62,14,47,,info@hotelcilicia.com,67005554,https://www.hotelcilicia.com,7,VII,7
119,Hotel Cinemusic,,"128",41.881257,12.5185548,4,49,29,10,18,1,,,,7,VII,7
213,Hotel 325 Tor Vergata,,"325",41.8360305,12.6218453,3,45,20,,16,3,,,,7,VII,7
259,Hotel Capannelle,,"37",41.8351481,12.5553952,4,514,258,2,256,,residentmanager@hotelcapannelle.com,3515115734,,7,VII,7
325,Hotel Dotcampus Roma,,"21",41.8826881,12.5098517,3,179,83,2,66,15,info@dotcampus.it,3402025885,,7,VII,7
350,Hotel Giardino D'europa,,"95",41.8280439,12.5827642,3,148,77,14,55,8,info@hotelgiardinoeuropa.it,67222252,www.hotelgiardinoeuropa.it,7,VII,7
428,Hotel Petra,,"76",41.8445463,12.6072904,3,21,9,,6,3,info@hotelpetra.it,67232444,,7,VII,7
429,Hotel Piccadilly,,"122",41.8810582,12.5078903,3,93,55,19,34,2,info@hotelpiccadillyroma.it,677207017,www.hotelpiccadillyroma.it,7,VII,7
430,Hotel Piccolo Borgo,,"134",41.8351143,12.5712169,3,88,48,9,38,1,amministrazione@piccoloborgo.it,672910187,,7,VII,7
458,Hotel Roi,,"64",41.8822792,12.5149346,1,18,11,4,7,,info@roihotel.com,670399394,,7,VII,7
465,Hotel Roma Tuscolana - San Giovanni,,"51",41.8795814,12.5256481,3,248,120,1,110,9,rm.tuscolana@hotelbb.com,6784692,http://hotelbb.com,7,VII,7
512,Hotel Vienna,,"203",41.8411391,12.5971238,1,79,37,4,25,7,info@hv2017srl.it,67234219,,7,VII,7
524,Hotel Vintage,,"27",41.837598,12.5947685,4,240,120,,120,,vintage2018@gmail.com,694354360,www.vintagehotelrome.it,7,VII,7
557,Hotel Lodi,,"14",41.8860753,12.5228343,2,25,10,,5,5,,,,7,VII,7
579,Hotel Meeting,,"52",41.8225563,12.5825966,3,97,44,7,23,12,,,,7,VII,7
651,Hotel Re Di Roma,,"21",41.8818992,12.5173819,3,82,38,1,31,5,info@hotelrediroma.com,670302501,,7,VII,7
655,Hotel Residenza Gra 21,,"21",41.8387127,12.5897328,2,45,17,,12,5,,,,7,VII,7
674,Romoli Hotel,,"114",41.8697285,12.5146408,3,87,42,8,23,11,info@romolihotel.com,68411318,,7,VII,7
727,The Strand Hotel,,"892",41.8628842,12.5505418,3,24,18,13,4,1,thestrandhotel@hotmail.com,676969978,,7,VII,7
734,Hotel Tuscolana,,"185",41.879907,12.5216337,3,34,19,6,11,2,,,,7,VII,7
