id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
"3",Hotel 2 Mari,,"10","41.8650091","12.5983985","3","36","20","4","16",,,,,"6",VI,"6"
"159",Hotel El Patio,,"8","41.8661914","12.5956976","1","14","7","1","5","1",,,,"6",VI,"6"
"221",Hotel Alba,,"81","41.86121","12.59321","4","156","69","18","18","31",booking@hotelalbaroma.com,"690282887",http://hotelalbaroma.com,"6",VI,"6"
"281",Hotel Citta' 2000,,"60","41.8589667","12.6144198","3","114","54",,"48","6",amgestionialberghiere@gmail.com,"62025540",,"6",VI,"6"
"368",Hotel Jonico,,"41","41.8627579","12.5988839","3","102","51","5","41","5",hjamministrazione@gmail.com,"623880",,"6",VI,"6"
"424",Hotel Parco La Borghesiana,,"120","41.8723989","12.6640578","4","111","58","11","42","4",,,,"6",VI,"6"
"464",Hotel Roma Torvergata,,"24","41.8662167","12.6300982","4","400","210","21","188","1",amministrazione@trevipalace.com,"6690101",,"6",VI,"6"
"474",Hotel Santa Maura 2,,"1038","41.8676961","12.5880998","4","95","41","1","26","14",hotelsantamaura2@gmail.com,"623267630",,"6",VI,"6"
"548",Hotel Laurence,,"18","41.8487265","12.6228628","3","108","54",,"54",,,,,"6",VI,"6"
"593",Hotel Myosotis,,"2","41.861836","12.6413177","4","24",,,,,,,,"6",VI,"6"
"606",Hotel Nicholas,,"223","41.8531329","12.6513915","1","13","6","1","4",,,,,"6",VI,"6"
"687",Santa Maura Hotel,,"1038","41.8676961","12.5880998","3","56","32","8","24",,santamaurahotel@gmail.com,"62674041",,"6",VI,"6"
"742",Hotel Villa Giannetto,,"325","41.8696211","12.6919985","1","23","12","3","7","2",,,,"6",VI,"6"
"747",Vitti Hotel,,1805 P,"41.8631671","12.6801888","2","22","13","4","9",,info@hotelvitti.it,"3331681809",www.hotelvitti.it,"6",VI,"6"
