id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
70,Hotel Art Noba,,"543",41.9315429,12.5274076,3,137,72,22,38,9,info@arthotelnoba.com,68622531,,3,III,3
83,Hotel Bel Poggio,,"733",41.9811866,12.5380681,2,25,13,1,12,,,,,3,III,3
99,Cannella Hotel,,"957",41.9657039,12.5060084,1,18,14,10,4,,everynightsrl@legalmail.it,668588316,,3,III,3
168,Hotel Eurogarden,,"197",41.989812,12.5066357,3,116,48,,48,,info@eurogarden.net,68852751,www.eurogarden.net,3,III,3
175,Favilla Hotel Di Charme,,"1497",42.0095405,12.5191335,3,47,26,5,21,,info@favillahotel.com,681152875,www.favillahotel.com,3,III,3
227,Hotel Aniene,,74 B,41.9379596,12.5314834,3,57,33,9,24,,info@hotelseiler.it,6485550,,3,III,3
271,Hotel Castle,,"196",41.9902469,12.5075318,2,61,34,8,25,1,,,,3,III,3
371,Hotel La Giocca,,"1223",41.9877263,12.5110268,4,100,48,5,34,9,,,,3,III,3
372,Hotel La Pergola,,"55",41.9459046,12.5229463,3,178,92,24,51,16,info@hotellapergola.com,68107250,http://www.hotellapergola.it/,3,III,3
467,Hotel Romulus,,"1069",41.9743023,12.5041266,3,176,72,2,36,34,info@hotelromulus.com,68801669,,3,III,3
486,Hotel Star,,,42.0149353,12.5658723,3,46,25,4,21,,info@hotelstar-roma.it,68887845,http://www.hotelstar-roma.it/,3,III,3
744,Hotel Villa Spada,,"20",41.9731982,12.5067029,3,44,24,9,10,5,,,,3,III,3
752,Hotel York Hotel,,"24",41.9477767,12.515245,3,59,38,20,15,3,,,,3,III,3
