id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
108,Hotel Castello della Castelluccia,,,41.9807747,12.3963329,4,56,24,2,13,8,eventi@lacastelluccia.com,630207041,,14,XIV,14
147,Hotel Desiderio,,"225",41.9296007,12.4270653,3,50,24,,23,,,,,14,XIV,14
173,Hotel Excel Roma Montemario,,"31",41.9326304,12.4336466,4,204,111,35,63,9,info.excelmontemario@laminhotels.com,635058043,www.laminhotels.com,14,XIV,14
190,Gemelli Hotel,,229 F,41.9303024,12.426371,3,39,22,5,17,,info@gemellihotel.com,635500452,www.gemellihotel.com,14,XIV,14
204,Hotel Grand Tiberio,,"51",41.9127428,12.4392671,4,189,85,6,54,25,,,,14,XIV,14
247,Hotel Beethoven,,"2",41.9164184,12.4231476,3,25,13,1,12,,hotelbeethovensas@pec.it,66149370,,14,XIV,14
419,Hotel Palace Nardo,,"65",41.9388706,12.3843151,3,55,38,24,11,3,palacenardo@gmail.com,630994535,,14,XIV,14
431,Hotel Pineta Palace,,"35",41.9195656,12.420909,4,478,194,,108,84,info@hotelpinetapalace.com,63013800,https://www.hotelpinetapalace.com/,14,XIV,14
455,Hotel & residence Magnolia,,"116",41.9076727,12.4374697,2,72,22,1,21,,,,,14,XIV,14
576,Massimi City Garden Hotel,,"9",41.9255712,12.4418585,4,119,79,39,40,,info@massimicitygarden.com,640075792,www.massimicitygarden.com,14,XIV,14
611,Hotel Octavia,,"38",41.9602281,12.413477,3,25,17,9,8,,,,,14,XIV,14
627,Papillo Hotel & Resort,,"53",41.9319544,12.381497,4,169,82,,77,5,ricevimento@papillohotel.it,692043935,www.papillohotel.it,14,XIV,14
654,Hotel Relais Castrum Boccea,,"27",41.9632214,12.3147165,4,63,30,7,14,8,,,,14,XIV,14
694,Hotel Selva Candida,,"200",41.9321512,12.3780699,3,24,,,,,,,,14,XIV,14
701,Hotel Sisto V,,"10",41.926541,12.4257221,3,70,39,10,28,,,,,14,XIV,14
