id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
10,Ad�sso Hotel,,"18",41.910118,12.5291194,4,170,83,,80,2,info@adessohotel.it,637350276,,2,II,2
29,Hotel Felice,,"30",41.8973728,12.5129983,2,33,18,3,15,,info@hotelfelice.com,64453347,www.hotelfelice.com,2,II,2
75,Hotel Ateneo Garden Palace,,"9",41.898969,12.511435,4,111,55,10,39,2,,,,2,II,2
76,Hotel Athena,,"3",41.9080365,12.5194944,3,52,27,4,21,2,,,,2,II,2
95,Hotel Buenos Aires,,"9",41.9211892,12.5022224,3,97,53,12,38,3,,,,2,II,2
146,Des Epoques Hotel,,"29",41.9103506,12.5024447,3,32,22,12,10,,info@desepoqueshotel.com,644238361,www.desepoqueshotel.com,2,II,2
206,Green Hotel,,"255",41.9116679,12.5086069,2,15,8,3,3,2,tarste62@yahoo.it,644202376,,2,II,2
222,Hotel Albani,,"41",41.9154029,12.4982791,4,325,154,12,128,,,,,2,II,2
237,Hotel Astrid,,"4",41.9234089,12.4687461,3,89,51,20,24,7,info@hotelastrid.com,63236371,www.hotelastrid.com,2,II,2
289,Hotel Coppede',,"88",41.921006,12.5069012,3,25,12,2,8,1,boutiquehotelcoppede@gmail.com,68549535,,2,II,2
309,Hotel Delle Civette,,"6",41.9147651,12.5137025,3,50,30,12,16,2,info@hoteldellecivette.it,642986230,www.hoteldellecivette.it,2,II,2
310,Hotel Delle Muse,,"18",41.9302322,12.4929034,3,122,58,12,32,10,,,,2,II,2
316,Hotel Dock,,"31",41.9102166,12.5151716,3,25,13,1,12,,,,,2,II,2
329,Hotel Enrica,,"25",41.9034995,12.5073526,1,16,8,1,6,1,hotel.enrica@tiscali.it,64453742,,2,II,2
332,Hotel Etico Roma,,"39",41.9143678,12.4728299,3,39,18,,15,3,info@albergoeticoroma.it,652722977,www.albergoeticoroma.it,2,II,2
338,Hotel Fenix,,"7",41.9186264,12.5141414,4,148,73,12,48,12,info@fenixhotel.it,68540741,www.fenixhotel.it,2,II,2
369,Hotel Kent,,"71",41.912634,12.5021664,3,24,17,10,7,,niucoroma@gmail.com,68540797,,2,II,2
377,Hotel La Ville Rome,,"110",41.9178628,12.514467,4,41,20,,19,1,account@aiohotels.it,3387403550,,2,II,2
380,Hotel Laura,,"109",41.914235,12.520795,3,65,35,10,20,5,info@hotellauraroma.it,644233472,www.hotellauraroma.it,2,II,2
386,Hotel Lh Lloyd Roma,,110 A,41.9121546,12.5031749,3,105,52,5,41,6,info@laminhotels.com,644288,,2,II,2
393,Hotel Malaga,,"14",41.9101318,12.5166428,3,25,19,13,6,,info@hotelmalagaroma.com,644231322,,2,II,2
418,Hotel Paisiello Parioli,,"47",41.9198423,12.4922766,2,87,49,23,14,12,,,,2,II,2
438,Hotel Porta Pia,,"25",41.9111488,12.5025759,3,25,19,13,6,,dedasrl@hotmail.com,3890545075,,2,II,2
443,Hotel Principe Torlonia,,"3",41.9194233,12.517821,4,59,26,2,19,1,info@hotelprincipetorlonia.com,688801989,,2,II,2
